[02/10/22 17:07:10] HIDS starting.
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File191.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File193.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File194.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File196.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File201.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File206.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File207.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File209.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File21.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File211.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File213.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File214.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File216.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File217.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File218.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File219.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File220.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File221.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File222.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File223.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File224.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File226.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File228.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File229.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File23.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File232.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File233.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File234.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File235.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File236.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File243.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File245.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File247.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File249.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File25.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File250.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File251.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File253.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File259.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File26.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File262.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File265.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File267.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File268.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File271.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File276.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File278.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File279.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File281.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File283.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File285.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File286.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File288.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File289.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File293.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File294.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File297.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File298.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File3.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File300.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File301.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File305.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File307.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File308.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File313.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File315.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File317.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File322.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File323.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File324.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File325.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File327.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File328.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File331.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File332.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File333.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File334.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File336.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File338.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File342.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File344.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File345.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File349.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File350.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File351.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File352.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File354.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File358.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File359.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File363.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File365.doc ok
